Num_ID	Taxon	Taxon1	Wi_Do	Tax_Wido	SNames	Order	PGeno	Isolate	LsMeans
4804	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_17	0.539146189
4894	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_18	0.83417604
4984	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_20	0.569831705
5074	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_21	0.915761742
5164	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	2004	0.259100087
5254	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	94_1	0.367595109
5344	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	94_4	0.553908488
5434	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Acacia	0.571814653
5524	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Apple404	0.59324903
5614	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Apple517	0.850188638
5704	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Ausubel	0.521613604
5794	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	B05_10	0.53428446
5884	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	BMM	0.502288563
5974	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	BPA1	0.516301098
6064	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	DavisNavel	0.167999777
6154	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	EsparatoFresa	0.193173712
6244	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Fd1	0.66474534
6334	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Fd2	0.522160797
6424	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Fresa525	0.769212786
6514	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	FresaSD	0.473101008
6604	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Gallo1	0.732235435
6694	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Gallo2	0.405759041
6784	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Geranium	0.302963938
6874	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Grape	0.554835671
6964	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	KatieTomato	0.853161921
7054	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	KernA2	0.666911538
7144	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	KernB1	0.636721099
7234	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	KernB2	0.581876489
7324	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	KGB1	0.202450601
7414	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	KGB2	0.567507787
7504	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	MEAP6G	0.714191093
7594	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Mex03	0.496818861
7684	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	Molly	0.439962206
